position,ticker,company,sector,in_kospi200,source_as_of,source_url
187,456040,OCI,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
188,137310,에스디바이오센서,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
189,000670,영풍,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
190,268280,미원에스씨,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
191,069260,TKG휴켐스,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
192,001680,대상,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
193,014820,동원시스템즈,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
194,002840,미원상사,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
195,006650,대한유화,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
196,003030,세아제강지주,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
197,005420,코스모화학,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
198,002030,아세아,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
199,008730,율촌화학,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
